Number;DeltaTime
0;2114
1;2355
2;2355
3;2353
4;2352
5;2351
6;2349
7;2348
8;2346
9;2346
10;2344
11;2343
12;2342
13;2341
14;2340
15;2339
16;2338
17;2338
18;2337
19;2336
20;2336
21;2334
22;2333
23;2332
24;2331
25;2330
26;2329
27;2327
28;2327
29;2325
30;2324
31;2323
32;2322
33;2322
34;2321
35;2320
36;2319
37;2318
38;2317
39;2317
40;2313
41;2312
42;2309
43;2308
44;2307
45;2305
46;2304
47;2303
48;2302
49;2301
50;2300
51;2298
52;2297
53;2293
54;2291
55;2290
56;2290
57;2288
58;2285
59;2285
60;2284
61;2283
62;2279
63;2278
64;2274
65;2274
66;2273
67;2271
68;2270
69;2269
70;2268
71;2266
72;2263
73;2261
74;2260
75;2259
76;2258
77;2256
78;2253
79;2252
80;2252
81;2251
82;2249
83;2248
84;2248
85;2247
86;2245
87;2242
88;2240
89;2240
90;2239
91;2236
92;2234
93;2232
94;2229
95;2226
96;2225
97;2224
98;2223
99;2222
100;2221
101;2218
102;2217
103;2216
104;2214
105;2209
106;2207
107;2207
108;2205
109;2204
110;2203
111;2203
112;2202
113;2200
114;2198
115;2197
116;2196
117;2194
118;2193
119;2193
120;2192
121;2191
122;2190
123;2188
124;2186
125;2184
126;2184
127;2183
128;2182
129;2181
130;2179
131;2178
132;2177
133;2176
134;2176
135;2175
136;2174
137;2174
138;2172
139;2170
140;2169
141;2168
142;2165
143;2165
144;2164
145;2163
146;2162
147;2161
148;2158
149;2157
150;2156
151;2155
152;2154
153;2153
154;2152
155;2152
156;2151
157;2151
158;2151
159;2149
160;2148
161;2145
162;2144
163;2143
164;2142
165;2137
166;2136
167;2135
168;2132
169;2131
170;2129
171;2128
172;2123
173;2121
174;2120
175;2119
176;2118
177;2118
178;2117
179;2116
180;2115
181;2114
182;2112
183;2109
184;2108
185;2107
186;2106
187;2105
188;2105
189;2104
190;2103
191;2101
192;2099
193;2097
194;2095
195;2094
196;2093
197;2092
198;2089
199;2087
200;2084
201;2083
202;2082
203;2081
204;2081
205;2080
206;2079
207;2079
208;2079
209;2078
210;2075
211;2075
212;2074
213;2074
214;2073
215;2072
216;2070
217;2069
218;2067
219;2066
220;2065
221;2064
222;2064
223;2063
224;2062
225;2060
226;2060
227;2057
228;2054
229;2053
230;2052
231;2051
232;2050
233;2050
234;2048
235;2042
236;2041
237;2040
238;2039
239;2039
240;2038
241;2035
242;2032
243;2031
244;2030
245;2030
246;2029
247;2029
248;2027
249;2025
250;2023
251;2022
252;2020
253;2019
254;2018
255;2017
256;2017
257;2016
258;2016
259;2014
260;2013
261;2009
262;2008
263;2007
264;2005
265;2002
266;1998
267;1997
268;1997
269;1995
270;1991
271;1989
272;1987
273;1986
274;1985
275;1982
276;1982
277;1981
278;1980
279;1979
280;1978
281;1978
282;1977
283;1976
284;1974
285;1974
286;1973
287;1972
288;1971
289;1971
290;1970
291;1969
292;1968
293;1967
294;1966
295;1966
296;1965
297;1964
298;1963
299;1962
300;1961
301;1960
302;1960
303;1959
304;1958
305;1957
306;1956
307;1956
308;1955
309;1954
310;1952
311;1952
312;1951
313;1950
314;1949
315;1947
316;1946
317;1946
318;1944
319;1943
320;1941
321;1937
322;1937
323;1934
324;1933
325;1932
326;1929
327;1927
328;1927
329;1926
330;1926
331;1925
332;1925
333;1924
334;1923
335;1921
336;1920
337;1919
338;1917
339;1915
340;1914
341;1912
342;1911
343;1910
344;1909
345;1908
346;1908
347;1907
348;1906
349;1905
350;1904
351;1904
352;1904
353;1903
354;1902
355;1901
356;1900
357;1900
358;1899
359;1899
360;1898
361;1897
362;1896
363;1895
364;1895
365;1894
366;1893
367;1892
368;1892
369;1891
370;1890
371;1888
372;1887
373;1885
374;1882
375;1881
376;1881
377;1879
378;1878
379;1876
380;1875
381;1872
382;1871
383;1870
384;1869
385;1867
386;1864
387;1863
388;1859
389;1858
390;1857
391;1856
392;1856
393;1853
394;1853
395;1852
396;1852
397;1851
398;1850
399;1849
400;1848
401;1847
402;1846
403;1845
404;1844
405;1844
406;1843
407;1842
408;1839
409;1838
410;1837
411;1837
412;1836
413;1835
414;1835
415;1834
416;1833
417;1833
418;1832
419;1832
420;1831
421;1831
422;1829
423;1829
424;1828
425;1827
426;1827
427;1826
428;1826
429;1820
430;1819
431;1818
432;1817
433;1815
434;1813
435;1812
436;1811
437;1810
438;1808
439;1807
440;1806
441;1805
442;1804
443;1804
444;1803
445;1803
446;1802
447;1801
448;1801
449;1800
450;1798
451;1796
452;1794
453;1794
454;1791
455;1790
456;1788
457;1787
458;1786
459;1785
460;1785
461;1772
462;1770
463;1770
464;1769
465;1768
466;1767
467;1766
468;1766
469;1765
470;1764
471;1764
472;1763
473;1762
474;1762
475;1761
476;1761
477;1760
478;1760
479;1760
480;1759
481;1759
482;1758
483;1758
484;1757
485;1757
486;1756
487;1755
488;1755
489;1754
490;1754
491;1753
492;1752
493;1752
494;1751
495;1750
496;1749
497;1749
498;1748
499;1747
500;1746
501;1745
502;1742
503;1739
504;1738
505;1738
506;1737
507;1736
508;1735
509;1734
510;1733
511;1731
512;1728
513;1727
514;1726
515;1725
516;1722
517;1721
518;1720
519;1718
520;1717
521;1716
522;1715
523;1713
524;1712
525;1711
526;1709
527;1708
528;1705
529;1703
530;1702
531;1702
532;1701
533;1700
534;1699
535;1699
536;1698
537;1697
538;1696
539;1696
540;1695
541;1694
542;1693
543;1693
544;1692
545;1691
546;1691
547;1689
548;1687
549;1687
550;1686
551;1685
552;1683
553;1682
554;1681
555;1680
556;1679
557;1675
558;1673
559;1671
560;1669
561;1669
562;1668
563;1667
564;1665
565;1662
566;1661
567;1661
568;1660
569;1659
570;1658
571;1657
572;1656
573;1655
574;1655
575;1654
576;1652
577;1651
578;1648
579;1647
580;1645
581;1644
582;1643
583;1642
584;1641
585;1641
586;1640
587;1639
588;1638
589;1637
590;1636
591;1635
592;1634
593;1632
594;1631
595;1631
596;1629
597;1627
598;1627
599;1625
600;1624
601;1621
602;1620
603;1619
604;1618
605;1618
606;1616
607;1616
608;1615
609;1614
610;1612
611;1609
612;1608
613;1608
614;1605
615;1604
616;1603
617;1599
618;1598
619;1597
620;1595
621;1592
622;1591
623;1589
624;1587
625;1586
626;1584
627;1583
628;1583
629;1579
630;1576
631;1575
632;1572
633;1568
634;1566
635;1552
636;1550
637;1549
638;1548
639;1547
640;1546
641;1545
642;1544
643;1542
644;1541
645;1540
646;1539
647;1539
648;1538
649;1537
650;1536
651;1535
652;1534
653;1533
654;1532
