Number;DeltaTime
0;2523
1;2804
2;2804
3;2802
4;2801
5;2799
6;2798
7;2797
8;2796
9;2795
10;2793
11;2792
12;2791
13;2790
14;2789
15;2788
16;2787
17;2786
18;2785
19;2784
20;2783
21;2782
22;2781
23;2780
24;2779
25;2778
26;2778
27;2777
28;2776
29;2775
30;2774
31;2773
32;2772
33;2771
34;2770
35;2769
36;2769
37;2768
38;2767
39;2766
40;2765
41;2763
42;2762
43;2761
44;2761
45;2760
46;2759
47;2759
48;2758
49;2756
50;2755
51;2753
52;2750
53;2749
54;2748
55;2747
56;2746
57;2745
58;2744
59;2743
60;2742
61;2741
62;2739
63;2739
64;2738
65;2735
66;2734
67;2730
68;2729
69;2729
70;2727
71;2725
72;2724
73;2724
74;2723
75;2722
76;2722
77;2721
78;2720
79;2719
80;2717
81;2717
82;2716
83;2715
84;2715
85;2714
86;2713
87;2712
88;2709
89;2708
90;2707
91;2704
92;2701
93;2700
94;2698
95;2694
96;2693
97;2691
98;2690
99;2690
100;2688
101;2687
102;2687
103;2683
104;2681
105;2680
106;2678
107;2677
108;2675
109;2674
110;2673
111;2667
112;2665
113;2664
114;2664
115;2662
116;2661
117;2659
118;2659
119;2657
120;2654
121;2653
122;2652
123;2652
124;2650
125;2649
126;2649
127;2648
128;2647
129;2646
130;2645
131;2644
132;2642
133;2638
134;2633
135;2632
136;2629
137;2628
138;2626
139;2626
140;2625
141;2624
142;2623
143;2622
144;2619
145;2619
146;2618
147;2617
148;2615
149;2613
150;2611
151;2609
152;2607
153;2606
154;2605
155;2600
156;2595
157;2593
158;2591
159;2588
160;2587
161;2585
162;2574
163;2573
164;2569
165;2567
166;2565
167;2563
168;2562
169;2560
170;2559
171;2556
172;2553
173;2551
174;2550
175;2549
176;2548
177;2547
178;2546
179;2545
180;2544
181;2543
182;2542
183;2541
184;2540
185;2540
186;2539
187;2539
188;2538
189;2537
190;2536
191;2535
192;2534
193;2533
194;2533
195;2532
196;2531
197;2531
198;2530
199;2530
200;2529
201;2528
202;2526
203;2525
204;2524
205;2522
206;2519
207;2518
208;2516
209;2514
210;2513
211;2512
212;2512
213;2510
214;2509
215;2509
216;2507
217;2503
218;2501
219;2500
220;2499
221;2498
222;2497
223;2496
224;2492
225;2491
226;2488
227;2487
228;2485
229;2483
230;2481
231;2478
232;2476
233;2475
234;2474
235;2473
236;2472
237;2471
238;2470
239;2469
240;2469
241;2468
242;2467
243;2467
244;2466
245;2465
246;2465
247;2464
248;2463
249;2462
250;2461
251;2460
252;2460
253;2459
254;2458
255;2458
256;2457
257;2456
258;2455
259;2454
260;2453
261;2452
262;2452
263;2451
264;2450
265;2449
266;2448
267;2447
268;2447
269;2446
270;2445
271;2445
272;2444
273;2442
274;2441
275;2440
276;2439
277;2438
278;2436
279;2434
280;2432
281;2431
282;2429
283;2428
284;2427
285;2424
286;2421
287;2420
288;2419
289;2418
290;2416
291;2416
292;2415
293;2414
294;2413
295;2411
296;2407
297;2406
298;2403
299;2401
300;2398
301;2394
302;2394
303;2391
304;2390
305;2389
306;2385
307;2383
308;2381
309;2381
310;2380
311;2379
312;2378
313;2378
314;2377
315;2375
316;2373
317;2372
318;2371
319;2367
320;2366
321;2366
322;2364
323;2364
324;2363
325;2362
326;2361
327;2360
328;2359
329;2359
330;2358
331;2357
332;2356
333;2355
334;2353
335;2352
336;2350
337;2347
338;2345
339;2343
340;2341
341;2339
342;2333
343;2332
344;2331
345;2330
346;2330
347;2329
348;2328
349;2327
350;2327
351;2326
352;2325
353;2325
354;2324
355;2323
356;2322
357;2322
358;2321
359;2320
360;2319
361;2318
362;2317
