Number;DeltaTime
0;78
1;131
2;132
3;132
4;132
5;133
6;133
7;134
8;134
9;134
10;135
11;135
12;136
13;136
14;137
15;138
16;138
17;139
18;140
19;140
20;140
21;141
22;141
23;142
24;142
25;143
26;143
27;144
28;144
29;145
30;145
31;145
32;145
33;146
34;146
35;146
36;147
37;147
38;147
39;148
40;148
41;149
42;150
43;151
44;152
45;152
46;153
47;154
48;155
49;156
50;157
51;157
52;158
53;158
54;158
55;159
56;159
57;160
58;160
59;160
60;160
61;161
62;161
63;161
64;162
65;162
66;163
67;163
68;163
69;164
70;164
71;165
72;165
73;165
74;166
75;166
76;166
77;167
78;167
79;168
80;168
81;168
82;169
83;169
84;170
85;170
86;171
87;172
88;173
89;173
90;173
91;174
92;174
93;175
94;175
95;176
96;176
97;176
98;177
99;177
100;177
101;177
102;178
103;178
104;179
105;179
106;179
107;180
108;180
109;180
110;181
111;181
112;181
113;182
114;182
115;182
116;182
117;183
118;183
119;183
120;184
121;184
122;184
123;184
124;185
125;185
126;185
127;186
128;186
129;187
130;187
131;188
132;188
133;189
134;189
135;190
136;190
137;191
138;191
139;191
140;192
141;192
142;192
143;192
144;193
145;193
146;193
147;194
148;194
149;194
150;194
151;195
152;195
153;195
154;196
155;196
156;196
157;197
158;197
159;197
160;197
161;198
162;198
163;198
164;199
165;199
166;200
167;200
168;200
169;201
170;201
171;201
172;202
173;202
174;202
175;203
176;203
177;204
178;205
179;206
180;206
181;207
182;207
183;207
184;208
185;208
186;208
187;209
188;209
189;209
190;210
191;210
192;210
193;211
194;211
195;211
196;212
197;212
198;212
199;213
200;213
201;213
202;214
203;214
204;215
205;215
206;216
207;216
208;216
209;217
210;217
211;217
212;218
213;218
214;218
215;219
216;219
217;219
218;220
219;221
220;221
221;222
222;223
223;224
224;224
225;225
226;225
227;225
228;226
229;226
230;226
231;227
232;227
233;228
234;228
235;228
236;229
237;229
238;229
239;230
240;230
241;231
242;231
243;232
244;232
245;233
246;233
247;233
248;234
249;234
250;234
251;235
252;235
253;235
254;236
255;236
256;237
257;237
258;239
259;240
260;240
261;240
262;241
263;241
264;241
265;242
266;242
267;242
268;243
269;243
270;243
271;243
272;244
273;244
274;245
275;245
276;246
277;246
278;247
279;247
280;248
281;248
282;248
283;247
284;247
285;248
286;248
287;248
288;249
289;249
290;250
291;250
292;251
293;252
294;253
295;254
296;254
297;255
298;255
299;255
300;256
301;256
302;256
303;257
304;257
305;258
306;258
307;258
308;259
309;259
310;259
311;260
312;260
313;260
314;261
315;261
316;261
317;262
318;262
319;263
320;263
321;263
322;264
323;264
324;264
325;265
326;265
327;265
328;266
329;266
330;267
331;267
332;267
333;268
334;268
335;269
336;270
337;270
338;271
339;272
340;272
341;273
342;273
343;273
344;274
345;274
346;275
347;275
348;275
349;276
350;276
351;276
352;277
353;277
354;278
355;278
356;278
357;279
358;279
359;279
360;280
361;280
362;280
363;281
364;281
365;281
366;281
367;282
368;282
369;282
370;283
371;283
372;283
373;284
374;284
375;284
376;285
377;286
378;286
379;286
380;286
381;287
382;287
383;288
384;288
385;288
386;289
387;289
388;289
389;290
390;290
391;290
392;290
393;291
394;291
395;291
396;291
397;292
398;292
399;292
400;293
401;293
402;293
403;294
404;294
405;294
406;295
407;295
408;295
409;296
410;296
411;296
412;298
413;298
414;298
415;299
416;299
417;299
418;299
419;300
420;300
421;301
422;301
423;301
424;302
425;302
426;303
427;304
428;304
429;305
430;305
431;306
432;306
433;306
434;307
435;307
436;307
437;308
438;308
439;309
440;309
441;309
442;310
443;310
444;310
445;311
446;311
447;311
448;312
449;312
450;312
451;313
452;313
453;313
454;314
455;314
456;314
457;315
458;315
459;315
460;316
461;317
462;317
463;327
464;327
465;328
466;328
467;329
468;329
469;330
470;330
471;331
472;331
473;332
474;332
475;332
476;336
477;337
478;338
479;339
480;339
481;339
482;340
483;340
484;340
485;341
486;341
487;342
488;342
489;342
490;343
491;343
492;343
493;344
494;344
495;344
496;344
497;345
498;345
499;345
500;345
501;346
502;346
503;347
504;347
505;347
506;347
507;348
508;348
509;349
510;349
511;349
512;349
513;350
514;350
515;350
516;351
517;351
518;352
519;352
520;352
521;353
522;353
523;354
524;355
525;355
526;356
527;356
528;356
529;357
530;357
531;357
532;358
533;358
534;359
535;359
536;360
537;360
538;361
539;361
540;361
541;362
542;362
543;362
544;363
545;363
546;364
547;364
548;365
549;365
550;366
551;366
552;366
553;367
554;367
555;368
556;368
557;369
558;369
559;371
560;371
561;372
562;372
563;373
564;373
565;374
566;375
567;377
568;378
569;378
570;379
571;380
572;380
573;381
574;381
575;381
576;382
577;382
578;383
579;383
580;384
581;384
582;384
583;386
584;386
585;387
586;388
587;388
588;390
589;390
590;391
591;391
592;393
593;396
594;397
595;398
596;398
597;399
598;400
599;402
600;403
601;404
602;406
603;407
604;407
605;408
606;409
607;410
608;410
609;411
610;412
611;412
612;413
613;413
614;414
615;414
616;415
617;415
618;416
619;416
620;417
621;418
622;419
623;419
624;420
625;421
626;421
627;422
628;422
629;423
630;423
631;424
632;424
633;424
634;424
635;425
636;425
637;425
638;426
639;426
640;427
641;427
642;427
643;428
644;428
645;428
646;429
647;429
648;429
649;430
650;430
651;431
652;431
653;431
654;431
655;432
656;432
657;433
658;433
659;434
660;435
661;436
662;437
663;437
664;438
665;438
666;438
667;439
668;439
669;439
670;440
671;440
672;440
673;441
674;441
675;442
676;442
677;442
678;442
679;442
680;443
681;443
682;444
683;444
684;445
685;445
686;445
687;446
688;446
689;446
690;447
691;447
692;448
693;448
694;448
695;449
696;449
697;450
698;450
699;451
700;452
701;453
702;453
703;454
704;454
705;454
706;455
707;455
708;456
709;456
710;457
711;457
712;458
713;458
714;459
715;459
716;459
717;460
718;461
719;461
720;461
721;462
722;462
723;463
724;464
725;464
726;465
727;465
728;466
729;467
730;468
731;468
732;469
733;469
734;470
735;470
736;471
